	sentence	label
45040	the disappointingly generic nature of the entire effort 	0
50700	a one-trick pony 	0
50164	labored and unfunny 	0
37213	there are some fairly unsettling scenes , but they never succeed in really rattling the viewer 	0
17340	but even then , i 'd recommend waiting for dvd and just skipping straight to her scenes . 	0
32082	hideous yellow 	0
13397	he 's spiffing up leftovers that are n't so substantial or fresh 	0
49223	tired , talky 	0
3480	induces headaches 	0
65608	serve no other purpose than to call attention to themselves 	0
1551	sanctimonious , self-righteous and 	0
23784	the last kiss will probably never achieve the popularity of my big fat greek wedding , but 	0
17914	the narration helps little 	0
64562	the script 's flaws 	0
61968	terminally bland 	0
65160	's plotless , shapeless 	0
35185	, unimaginative 	0
5440	squashed 	0
16117	mixed results 	0
43032	even lazier 	0
60861	stitch is a bad mannered , ugly and destructive little **** . 	0
46193	from his usual bumbling , tongue-tied screen persona 	0
53261	's a real shame 	0
15652	mundane 	0
1009	cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names 	0
41193	worst way 	0
12226	who sometimes defies sympathy 	0
45003	it 's a long way from orwell 's dark , intelligent warning cry ( 1984 ) to the empty stud knockabout of equilibrium 	0
33111	vile 	0
62080	, why should you buy the movie milk when the tv cow is free ? 	0
34866	van wilder does little that is actually funny with the material 	0
61910	those films that started with a great premise and then just fell apart 	0
26061	tired jokes 	0
58334	the code talkers deserved better than a hollow tribute . 	0
7318	time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life . 	0
22701	of the lightweight female empowerment 	0
46409	a muddy psychological thriller 	0
59047	is better than most of the writing in the movie 	0
54458	an idea buried somewhere inside its fabric , but never clearly seen or felt 	0
32124	as the worst kind of hubristic folly 	0
13744	the film 's needlessly opaque intro takes its doe-eyed crudup out of pre-9 / 11 new york and onto a cross-country road trip of the homeric kind . 	0
7647	the butt 	0
60070	vulgar and forgettably 	0
9641	need a stronger stomach than us 	0
54832	create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior 	0
59787	creepy turn 	0
35562	inadvertently sidesplitting it 	0
48801	revelatory and narcissistic 	0
6651	skip but film buffs should get to know 	0
38290	unexceptional 	0
42899	like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale 	0
32175	is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition . 	0
10307	not great 	0
56000	a moving picture that does not move . 	0
10509	shamelessly manipulative 	0
15195	numbing 	0
24614	way too full 	0
46737	it 's badder than bad . 	0
23985	finally has failed him . 	0
56607	cheated 	0
7038	action clichés 	0
4225	the none-too-original premise 	0
44366	not completely loveable -- but what underdog movie since the bad news bears has been ? 	0
22449	but the feelings evoked in the film are lukewarm and quick to pass . 	0
10386	was so uninspiring that even a story immersed in love , lust , and sin could n't keep my attention 	0
13111	, but wanes in the middle 	0
48253	turns into an ocean of trouble 	0
