	sentence	label
38320	be disappointed in the relative modesty of a movie that sports a ` topless tutorial service 	0
21018	stoops to having characters drop their pants for laughs and not the last time 	0
15337	is more interested in entertaining itself than in amusing us 	0
6890	fewer deliberate laughs , more inadvertent ones and stunningly trite 	0
55525	pryor wannabe 	0
23368	an odd , haphazard , and inconsequential romantic comedy . 	0
16765	it has no affect on the kurds , but it wore me down . 	0
1368	too bad kramer could n't make a guest appearance to liven things up . 	0
53953	that criticizing feels more like commiserating 	0
33401	overbearing and over-the-top as the family 	0
59242	showtime 's uninspired send-up 	0
32072	a total misfire 	0
40652	rent those movies instead 	0
17423	typical 	0
22964	me want to bolt the theater in the first 10 minutes 	0
62826	, eastwood is off his game 	0
36580	stay with the stage versions , however , 	0
63574	a huge disappointment coming , 	0
58288	reality shows for god 's sake 	0
17987	is shallow , offensive and redundant , with pitifully few real laughs . 	0
12391	shambles 	0
66303	fresh and raw like a blown-out vein 	0
11371	becomes claustrophobic 	0
27517	wrong with performances here 	0
29213	hellish 	0
35420	too often , son of the bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . '' 	0
1132	everything 's serious , poetic , earnest and -- sadly -- dull . 	0
55636	's more of the ` laughing at ' variety than the ` laughing with 	0
58058	been benefited from a sharper , cleaner script before it went in front of the camera 	0
6844	it was , as my friend david cross would call it , ` hungry-man portions of bad ' 	0
15945	incorporates rotoscope animation for no apparent reason except 	0
64368	immature and unappealing to care about 	0
16176	makes as much of a mess as this one 	0
25519	supposedly funny 	0
28387	surrender $ 9 	0
26961	the unfulfilling 	0
2557	total misfire 	0
60558	grinds itself 	0
5214	final verdict : you 've seen it all before . 	0
26918	- worst of all - 	0
10842	catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera 	0
45040	the disappointingly generic nature of the entire effort 	0
18419	satin rouge is not a new , or inventive , journey , but 	0
59744	the writing is indifferent 	0
1646	rage 	0
20046	little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding 	0
561	human darkness 	0
29231	to find an enthusiastic audience among american action-adventure buffs , but the film 's interests 	0
7617	in their recklessness 	0
51389	is frustratingly unconvincing . 	0
56659	is that the movie has no idea of it is serious or not . 	0
20328	human nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart 	0
1186	it 's the worst movie i 've seen this summer 	0
12647	tom green stages his gags as assaults on america 's knee-jerk moral sanctimony 	0
63257	the story itself is actually quite vapid . 	0
67101	gets violently gang-raped 	0
32096	fright 	0
15637	a selection of scenes in search of a movie 	0
28925	nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises . 	0
518	lacks the charisma and ability to carry the film on his admittedly broad shoulders . 	0
15769	thrown every suspenseful cliché in the book 	0
25265	more likely to drown a viewer in boredom than to send any shivers down his spine 	0
5350	's more repetition than creativity throughout the movie 	0
44374	paced at a speed that is slow to those of us in middle age and deathly slow to any teen 	0
63209	is a no-surprise series of explosions and violence while banderas looks like he 's not trying to laugh at how bad 	0
2351	usual bumbling , tongue-tied screen persona 	0
23162	is only so much baked cardboard i need to chew 	0
27059	the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about . 	0
18629	falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting 	0
62927	believe that people have lost the ability to think and 	0
28211	attempts to mine laughs 	0
34229	there 's not a single jump-in-your-seat moment and 	0
40768	insultingly inept and artificial examination 	0
41056	clearly hopes to camouflage how bad his movie is . 	0
51908	own meager weight 	0
35703	a film without surprise geared toward maximum comfort and familiarity . 	0
21089	the film 's final hour , where nearly all the previous unseen material resides , is unconvincing soap opera that tornatore was right to cut . 	0
10309	lightweight meaning 	0
50395	stale , futile scenario 	0
10414	in addition to sporting one of the worst titles in recent cinematic history 	0
2148	the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life . 	0
17884	into this turkey 	0
28806	this new zealand coming-of-age movie is n't really about anything . 	0
47960	are more involving than this mess 	0
18345	it 's plotless , shapeless -- and 	0
2588	it does n't give a damn 	0
39467	by the artsy and often pointless visuals 	0
23457	, `` rollerball '' 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j. 	0
43186	hate it because it 's lousy 	0
3396	dumb fart 	0
45969	bothers to question why somebody might devote time to see it 	0
40446	contains the humor , characterization , poignancy , and intelligence of a bad sitcom 	0
53237	like the world of his film , hartley created a monster but did n't know how to handle it . 	0
50864	an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . 	0
58585	that they 've already seen this exact same movie a hundred times 	0
18105	the picture is in trouble 	0
28834	fails in making this character understandable , in getting under her skin , in exploring motivation ... 	0
38765	disappointing in comparison to other recent war movies ... 	0
21813	who enjoy moaning about their cruel fate 	0
21643	crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) 	0
23135	vanity project 	0
34817	apparently , romantic comedy with a fresh point of view just does n't figure in the present hollywood program . 	0
39379	, this film 's impressive performances and adept direction are n't likely to leave a lasting impression . 	0
28299	the toughest ages a kid can go through 	0
43550	with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought 	0
49169	to be a hollywood satire but winds up as the kind of film that should be the target of something 	0
25229	a ponderous and pretentious endeavor 	0
31136	unfortunately 	0
7493	it 's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain . 	0
8440	go at all the wrong moments 	0
41049	it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue . 	0
60555	you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness 	0
55191	sentimentality and annoying stereotypes 	0
47043	it includes a fair share of dumb drug jokes and predictable slapstick 	0
7061	you shoot something on crummy-looking videotape 	0
41277	loads of irreparable damage 	0
49525	wish it would have just gone more over-the-top instead of trying to have it both ways 	0
62604	would 've worked a lot better had it been a short film . 	0
27950	is long on glamour and short on larger moralistic consequences , 	0
64377	ones that were imposed for the sake of commercial sensibilities 	0
61324	in a downward narcotized spiral 	0
22633	it 's probably not accurate to call it a movie 	0
22357	in a fat man 's navel 	0
29936	a timid , soggy near miss . 	0
59015	too much like an infomercial for ram dass 's latest book aimed at the boomer 	0
26207	-- the sober-minded original was as graceful as a tap-dancing rhino -- 	0
35999	erotically 	0
58636	( the film 's ) taste for `` shock humor '' will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers . 	0
47639	repetitive and ragged 	0
279	i could have used my two hours better watching being john malkovich again . 	0
30127	feels painfully redundant and inauthentic 	0
2568	unfortunately , it runs for 170 	0
9019	someone who obviously knows nothing about crime 	0
