	sentence	label
13194	this interminable , shapeless documentary about the swinging subculture 	0
11753	not good enough 	0
5181	's nowhere near as exciting as either . 	0
4781	the poor quality of pokemon 4 	0
63661	banged their brains 	0
57476	to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit 	0
6171	memorable for a peculiar malaise that renders its tension flaccid and , by extension , its surprises limp and its resolutions ritual 	0
39063	disposible 	0
51299	blustery 	0
59725	a bloated plot 	0
34419	get to an imitation movie 	0
11279	any way demeaning its subjects 	0
25387	a teenybopper ed wood film , replete with the pubescent scandalous innuendo 	0
24698	left with a sour taste in your mouth 	0
7816	has little insight 	0
2929	with a completely predictable plot 	0
22292	sometimes it 's difficult to tell who the other actors in the movie are 	0
13539	an 88-minute rip-off of the rock 	0
66773	generic scripts 	0
11094	leaden script 	0
54591	though it goes further than both , anyone who has seen the hunger or cat people will find little new here 	0
44158	it 's too long 	0
28598	is in bad need of major acting lessons and maybe a little coffee . 	0
27615	in `` unfaithful 	0
8240	ultimately empty examination 	0
60897	enough is not a bad movie , just mediocre . 	0
33255	we have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat . 	0
16437	, it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work . 	0
63199	as exciting to watch as two last-place basketball 	0
42286	you might imagine that most every aggrieved father cliché has been unturned . 	0
61332	like a great missed opportunity 	0
59300	showtime eventually folds under its own thinness . 	0
6868	its own most damning censure 	0
13241	a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless . 	0
34934	prove too convoluted 	0
9384	is sandler running on empty , repeating what he 's already done way too often . 	0
30364	it 's trying to set the women 's liberation movement back 20 years 	0
41469	pull his head out of his butt 	0
25535	the man who bilked unsuspecting moviegoers 	0
550	time bombs 	0
54582	the entire point of a shaggy dog story 	0
47361	the appeal of the vulgar , sexist , racist humor went over my head or -- considering just how low brow it is -- 	0
51577	a movie that ends up slapping its target audience in the face by shooting itself in the foot 	0
61205	has none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even `` indecent proposal '' , and feels more like lyne 's stolid remake of `` lolita '' 	0
20107	it merely indulges in the worst elements of all of them . 	0
20085	loud , silly , stupid and pointless . 	0
57170	just another run-of-the-mill disney sequel intended for the home video market 	0
44689	over-blown drama 	0
49558	leave you wanting to abandon the theater 	0
65633	ended so damned soon 	0
47703	edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story 	0
16421	it is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag 	0
36805	with nary a glimmer of self-knowledge , ( crane ) becomes more specimen than character -- and auto focus remains a chilly , clinical lab report 	0
66465	, kung pow sets a new benchmark for lameness . 	0
30066	this noble warlord would be consigned to the dustbin of history 	0
47011	murder by numbers just does n't add up . 	0
34344	have to admit that i am baffled by jason x. 	0
41049	it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue . 	0
48209	doze off 	0
27892	thoughtless , random , superficial humor and a lot 	0
48346	a sugar-coated rocky 	0
45594	of an ordeal than an amusement 	0
4494	same old garbage 	0
31120	inarticulate 	0
63238	littered with celluloid garbage 	0
3376	often silly -- and gross -- but it 's rarely as moronic as some campus gross-out films . 	0
40389	the most offensive thing about the movie 	0
53982	pummel us with phony imagery or music 	0
53120	it falls far short of poetry , 	0
33123	feels like very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs . 	0
52558	its characterization of hitler and 	0
1481	does n't work because there is no foundation for it 	0
32929	is so thoughtlessly assembled 	0
7491	the movie 's ultimate point -- that everyone should be themselves -- is trite , but 	0
46359	what 's infuriating about full frontal is that it 's too close to real life to make sense . 	0
14937	sudsy 	0
12376	animated movies in quite a while 	0
54856	neither is well told 	0
20296	too neat and new pin-like 	0
43331	will see nothing in it to match the ordeal of sitting through it . 	0
58644	( sci-fi ) rehash 	0
27441	was reportedly rewritten a dozen times 	0
1925	to shine through the gloomy film noir veil 	0
11058	its exploitive array of obligatory cheap 	0
51827	a pleasant and engaging enough sit , but in trying to have the best of both worlds it ends up falling short as a whole . 	0
24349	norwegian offering which somehow snagged an oscar nomination 	0
30206	is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film 	0
20345	a nasty aftertaste but little clear memory 	0
51296	ineptly directed action sequences and some of the worst dialogue in recent memory . 	0
57241	a comedian who starts off promisingly but then proceeds to flop 	0
15937	of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio 	0
56365	plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo . 	0
376	only open new wounds 	0
11997	's rare to see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid '' . 	0
18824	what they see in each other also is difficult to fathom . 	0
28581	it is entertaining on an inferior level . 	0
26155	be expected from any movie with a `` 2 '' at the end of its title 	0
1888	just does n't add up . 	0
27447	the very hollowness 	0
19420	snail-like pacing 	0
9631	, the eye candy here lacks considerable brio . 	0
59895	's just merely very bad . 	0
22235	i ca n't remember the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops . 	0
19027	creepy-crawly bug things that live only in the darkness 	0
66251	to do , too little time to do it in 	0
12463	it 's lousy 	0
15277	the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent 	0
45264	and adults will at least have a dream image of the west to savor whenever the film 's lamer instincts are in the saddle . 	0
23629	encumbers itself 	0
50308	to shyamalan 's self-important summer fluff 	0
6085	it appears to have been modeled on the worst revenge-of-the-nerds clichés the filmmakers could dredge up . 	0
803	grotesque narcissism 	0
44559	it 's a movie that gets under your skin . 	0
21758	the secrets of time travel will have been discovered , indulged in and rejected as boring before i see this piece of crap again . 	0
59464	the problem is that for the most part , the film is deadly dull . 	0
