	sentence	label
57352	that might be best forgotten 	0
32046	seem to be in a contest to see who can out-bad-act the other . 	0
10164	little emotional resonance 	0
2029	the crap 	0
3880	remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . 	0
9778	worst possibilities 	0
51453	too many `` serious issues '' 	0
58250	why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? 	0
20476	be consigned to the dustbin of history 	0
11256	but the second half of the movie really goes downhill . 	0
50385	is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts 	0
7641	drunken 	0
63238	littered with celluloid garbage 	0
45150	best spent elsewhere 	0
52088	is a movie filled with unlikable , spiteful idiots 	0
13509	dying and going 	0
1594	sinister 	0
3183	assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times 	0
15631	all seemed wasted like deniro 's once promising career and the once grand long beach boardwalk . 	0
31968	subzero version 	0
60311	treads heavily 	0
58412	wo n't be remembered as one of ( witherspoon 's ) better films 	0
43131	you can fire a torpedo through some of clancy 's holes , and the scripters do n't deserve any oscars . 	0
27784	but the movie 's narrative hook is way too muddled to be an effectively chilling guilty pleasure . 	0
40732	the author 's devotees will probably find it fascinating ; others may find it baffling . 	0
41823	a soulless hunk 	0
26925	as a director , eastwood is off his game -- there 's no real sense of suspense , and none of the plot ` surprises ' are really surprising 	0
51519	i could feel my eyelids ... getting ... very ... heavy ... 	0
19035	does n't add anything fresh to the myth . 	0
36447	the most surprising thing about this film is that they are actually releasing it into theaters . 	0
57240	abject suffering 	0
33230	hopkins ) does n't so much phone in his performance as fax it . 	0
11960	in a way that bespeaks an expiration date passed a long time ago 	0
39976	a chiller resolutely without chills . 	0
33927	the biggest problem i have 	0
56038	to consider the unthinkable , the unacceptable , the unmentionable 	0
63939	cattaneo reworks the formula that made the full monty a smashing success ... but neglects to add the magic that made it all work . 	0
45868	seems to have dumped a whole lot of plot in favor of ... outrageous gags . 	0
66437	stress ` dumb . 	0
1038	stereotypical caretakers 	0
44945	admittedly problematic in its narrative specifics 	0
898	somehow snagged an oscar nomination 	0
21828	many such biographical melodramas 	0
63557	an audience full of teenagers fixating on its body humor and reinforcement of stereotypes 	0
21815	approaching even a vague reason to sit through it all 	0
20924	low-brow humor , gratuitous violence and a disturbing disregard 	0
13289	the pacing is often way off and 	0
44083	no teeth 	0
38785	ca n't say it 's on par with the first one 	0
38536	more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach 	0
2005	animation back 30 years , musicals back 40 years and 	0
4453	is listless , witless , and devoid of anything resembling humor 	0
27461	goes for sick and demented humor simply 	0
3343	a determined , ennui-hobbled slog that really does n't have much to say beyond the news 	0
45862	artless sytle 	0
3577	no . . 	0
19655	teen-driven , toilet-humor codswallop 	0
42723	arrest development in a dead-end existence 	0
25752	visually atrocious 	0
46475	all end in someone screaming 	0
47152	it 's not very well shot or composed or edited 	0
65033	grows as dull as its characters , about whose fate it is hard to care 	0
16897	is a fragmented film 	0
7478	, nothing good can happen 	0
28946	inconsistent , meandering , and sometimes dry 	0
46384	splash without the jokes 	0
2491	, clumsily staged violence overshadows everything , including most of the actors . 	0
59136	get out 	0
40885	all-time low 	0
52747	an exercise in gross romanticization of the delusional personality type 	0
35810	, haphazard , and inconsequential romantic 	0
61036	come up with an original idea for a teen movie 	0
