	sentence	label
59637	that wastes the talents of its attractive young leads 	0
57240	abject suffering 	0
26500	's been done before 	0
13749	schaeffer 's film never settles into the light-footed enchantment the material needs , 	0
16118	none of this is meaningful or memorable , but frosting is n't , either , and 	0
54471	nothing too deep or substantial . 	0
61609	has the thrown-together feel of a summer-camp talent show : hastily written 	0
47118	stinks so badly of hard-sell image-mongering you 	0
21894	toothless 	0
39505	shapeless documentary 	0
36634	were imposed for the sake of commercial sensibilities 	0
9830	, and irritating 	0
30616	's difficult to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting . 	0
26957	eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot . 	0
59	far less sophisticated and 	0
30440	a dull , dumb and derivative horror 	0
50591	the vagueness 	0
45687	a mawkish self-parody that plays like some weird masterpiece theater sketch with neither 	0
42271	just a string of stale gags , with no good inside dope , and no particular bite 	0
52212	shooting itself in the foot 	0
50185	does n't add up . 	0
2746	does n't quite go the distance 	0
1666	the obstacles of a predictable outcome and a screenplay that glosses over rafael 's evolution 	0
2172	in the name of an allegedly inspiring and easily marketable flick , the emperor 's club turns a blind eye to the very history it pretends to teach . 	0
6002	dehumanizing 	0
48416	its initial excitement 	1
4652	on the whole , you 're gon na like this movie . 	1
13585	to get on a board and , uh , shred , dude 	1
35461	thrills 	1
38046	's secondary to american psycho but still has claws enough to get inside you and stay there for a couple of hours 	1
20154	excels in spectacle and pacing . 	1
6658	a canny crowd pleaser 	1
16924	in the midwest that held my interest precisely because it did n't try to 	1
55966	girls ca n't swim represents an engaging and intimate first feature by a talented director to watch 	1
45245	of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh 	1
56169	a heartwarming , nonjudgmental kind 	1
35186	coordinated 	1
56384	of an energetic , extreme-sports adventure 	1
52079	with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances 	1
30704	an amazing slapstick instrument 	1
2167	might just be the movie you 're looking for 	1
18715	of the theater 	1
30462	fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . 	1
1608	to the film 's music 	1
35711	that so often end up on cinema screens 	1
42459	impressive roster 	1
1904	and , thanks to the presence of ` the king , ' it also rocks . 	1
29491	beautiful , cold , oddly colorful and just plain otherworldly , a freaky bit of art that 's there to scare while we delight in the images . 	1
25095	close to the level of intelligence and visual splendor that can be seen in other films 	1
17428	as a comedy 	1
