	sentence	label
53536	so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots . 	0
4407	than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run 	0
16480	recycles every cliché about gays in what is essentially an extended soap opera . 	0
54609	have no affinity for most of the characters . 	0
47940	clichéd and shallow cautionary tale 	0
61688	will be from unintentional giggles -- several of them . 	0
22952	mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor . 	0
47158	keep pushing the jokes at the expense of character until things fall apart 	0
47949	is the opposite of a truly magical movie 	0
9939	, romantic comedy with a fresh point of view just does n't figure in the present hollywood program . 	0
49310	qualities that were once amusing are becoming irritating . 	0
16193	dull and ankle-deep 	0
14408	for an absurd finale of twisted metal , fireballs and revenge 	0
47772	is less compelling than the circumstances of its making 	0
42700	the cruelty and suffering 	0
63642	on its own , it 's not very interesting . 	0
34366	nothing happens 	0
31732	rarely has sex on screen been so aggressively anti-erotic . 	0
61053	the dialogue is cumbersome , 	0
13590	the pungent bite of its title 	0
9581	his fake backdrops 	0
2703	have given this movie a rating of zero 	0
23154	the slow , lingering death of imagination 	0
59489	they need it to sell us on this twisted love story 	0
1142	questionable 	0
3688	it 's not a motion picture ; it 's an utterly static picture 	0
35877	bad of a movie 	0
39379	, this film 's impressive performances and adept direction are n't likely to leave a lasting impression . 	0
26168	shake the feeling that it was intended to be a different kind of film 	0
35794	the slack complacency 	0
28952	utter loss personified in the film 's simple title 	0
4636	impassive a manner 	0
40092	at times it 's simply baffling 	0
27514	the ordeal of sitting through it 	0
29168	also looking cheap 	0
66311	with all its botches 	0
19508	will wish there had been more of the `` queen '' and less of the `` damned 	0
59002	mostly plays it straight , turning leys ' fable into a listless climb down the social ladder . 	0
51438	his kids to watch too many barney videos 	0
41293	insufferable 	0
23802	insult 	0
48182	depressing , ruthlessly pained and depraved 	0
43747	a ponderous and pretentious endeavor that 's unfocused and tediously exasperating 	0
27401	inexcusable dumb 	0
2393	banal dialogue 	0
45012	seem like such a bore 	0
20555	the annoyance of that chatty fish 	0
41475	a way that 's too loud , too goofy and too short of an attention span 	0
67143	hard for me 	0
55297	a college comedy that 's target audience has n't graduated from junior high school 	0
59690	far the worst movie of the year 	0
9354	although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up catholic or , really , anything . 	0
46724	gangster no. 1 drips 	0
50827	become apparent that the franchise 's best years are long past 	0
64525	'd need a shower 	0
25160	the weak payoff 	0
21509	racist 	0
34929	acting , but ultimately a movie with no reason for being . 	0
33344	, jackass lacks aspirations of social upheaval . 	0
50204	starts promisingly but disintegrates into a dreary , humorless soap opera . 	0
42924	it may scream low budget , 	0
46567	with slow pacing 	0
5942	amid the deliberate , tiresome ugliness 	0
31081	the narrator and the other characters try to convince us that acting transfigures esther , but 	0
60555	you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness 	0
1728	the movie dawdle 	0
15564	have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy 	0
44532	singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn . 	0
22867	have written a more credible script , though with the same number of continuity errors 	0
61196	is a discreet moan of despair about entrapment in the maze of modern life . 	0
31637	the last kiss will probably never achieve the popularity of my big fat greek wedding 	0
38741	of the ugly american 	0
39373	wo n't be talking about the film once you exit the theater 	0
10288	little wit and no surprises 	0
39958	shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that 's scarcely a surprise by the time it arrives . 	0
7945	profoundly stupid 	0
51016	i could have looked into my future and saw how bad this movie was 	0
60679	like showgirls and glitter , the most entertaining moments here are unintentional . 	0
15343	77 minutes of pokemon may not last 4ever , it just seems like it does . 	0
50611	the mushy finale 	0
57495	nothing but one relentlessly depressing situation after another for its entire running time , something that you could easily be dealing with right now in your lives 	0
38242	by bad writing 	0
21965	i know how to suffer ' and if you see this film you 'll know too . 	0
32506	a trend 	0
58438	long 	0
59973	boorish movie 	0
47933	too much time 	0
27410	for the breezy and amateurish feel of an after school special on the subject of tolerance 	0
40951	trip tripe 	0
31424	then again , in a better movie , you might not have noticed . 	0
45776	fails to spark this leaden comedy 	0
48355	his characters -- if that 's not too glorified a term -- 	0
1919	's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present 	0
22467	plainly dull and visually ugly 	0
48642	appalling , shamelessly manipulative and contrived , and totally lacking in conviction 	0
7201	disconnects 	0
60984	full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life . 	0
42597	doubt it 	0
66840	a real snooze . 	0
60657	lacks the wit necessary to fully exploit the comic elements of the premise , making the proceedings more bizarre than actually amusing 	0
56942	are actually releasing it into theaters 	0
13684	love may have been in the air onscreen , but i certainly was n't feeling any of it . 	0
20803	car-wreck 	0
38578	once again that a man in drag is not in and of himself funny 	0
31216	read my lips 	0
45812	nearly surprising or clever enough to sustain a reasonable degree of suspense on its own 	0
36288	aimless , 	0
12883	if that does n't clue you in that something 's horribly wrong 	0
53283	hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial . 	0
40588	refuses to evaluate his own work 	0
55487	( a ) slummer . 	0
52626	bogs down in genre cliches 	0
42976	populated by characters who are nearly impossible to care about 	0
9266	the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape 	0
57915	not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired 	0
12112	is a movie filled with unlikable , spiteful idiots ; 	0
34356	a pathetically inane and unimaginative cross between xxx and vertical limit . 	0
66687	the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year 	0
50414	expect from movies 	0
6725	make trouble 	0
14038	a clichéd and shallow cautionary tale about the hard-partying lives of gay men . 	0
61174	is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic 	0
35848	the flaws 	0
1953	the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea 	0
47202	bad and baffling from the get-go 	0
26385	if you 're not fans of the adventues of steve and terri , you should avoid this like the dreaded king brown snake . 	0
39326	like pieces a bunch of other , better movies slapped together . 	0
4031	our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and 	0
44364	leaves a bitter taste . 	0
54580	is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . ' 	0
62431	disappointingly thin 	0
31707	the movie is not as terrible as the synergistic impulse that created it . 	0
48875	way too mushy -- and in a relatively short amount of time 	0
29859	to its inevitable tragic conclusion 	0
13589	a visually flashy but narratively opaque and emotionally vapid 	0
57819	where the thematic ironies are too obvious and the sexual politics too smug 	0
50905	that tells us nothing new 	0
15681	none of them memorable 	0
36417	pathetic as dahmer 	0
40662	lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension 	0
16781	is the point of emotional and moral departure for protagonist alice 	0
33593	hanging 	0
12763	sucker 	0
31991	the most unpleasant things 	0
65694	aimless for much of its running time , until late in the film when a tidal wave of plot arrives 	0
352	walked out muttering words like `` horrible '' and `` terrible , '' 	0
3465	is actually dying a slow death , if the poor quality of pokemon 4 ever is any indication 	0
25749	resident evil is not it 	0
6914	's hard to imagine acting that could be any flatter . 	0
47196	the outdated clothes and plastic knickknacks 	0
30126	abhorrent 	0
