	sentence	label
41487	puerile 	0
10765	farewell-to-innocence movies 	0
20906	it 's like rocky and bullwinkle on speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness . 	0
30018	noisy and pretentious 	0
66916	even close to being the barn-burningly bad movie it promised it would be 	0
25179	donovan ... squanders his main asset , jackie chan , 	0
59875	, surreal ache of mortal awareness emerges a radiant character portrait . 	1
22535	pretty funny 	1
35755	plays as dramatic 	1
29475	the darling of many a kids-and-family-oriented cable channel 	1
31345	this is one summer film that satisfies 	1
33864	to discover that tian 's meticulous talent has not withered during his enforced hiatus 	1
