	sentence	label
63736	a sleep-inducingly slow-paced crime drama with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set 	0
37646	less-than-thrilling thriller . 	0
2516	superficial . 	0
18058	kids do n't mind crappy movies as much as adults , provided there 's lots of cute animals and clumsy people . 	0
67327	a rather dull , unimaginative car chase 	0
44520	the screenwriter responsible for one of the worst movies of one year 	0
32942	not one clever line 	0
36964	you feel like running out screaming 	0
59142	your first instinct is to duck 	0
30172	leaden and predictable 	0
31052	the 1980s 	0
66970	which fails to rise above its disgusting source material 	0
40451	hate it 	0
50326	` terrorists 	0
17640	generates by orchestrating a finale that is impenetrable and dull 	0
20417	no amount of good intentions is able to overcome the triviality of the story . 	0
62988	showing off 	0
46345	uninvolving storytelling 	0
31690	every effort to disguise it as an unimaginative screenwriter 's invention 	0
35369	fake backdrops 	0
58862	a small fortune in salaries and stunt cars 	0
10193	is a lumbering , wheezy drag 	0
50172	dull , unimaginative 	0
5969	i would go back and choose to skip it . 	0
20317	comatose 	0
15434	need to try very hard 	0
63624	quickly wears out its limited welcome 	0
36815	's tough to watch 	0
34260	've learned the hard way just how complex international terrorism is 	0
31712	blown 	0
19463	, you 're far better served by the source material . 	0
63375	lobotomy 	0
42878	a sour attempt at making a farrelly brothers-style , down-and-dirty laugher for the female 	0
41732	the run-of-the-mill singles blender 	0
17882	audacity and 	0
51432	like legally blonde and sweet home abomination 	0
27338	though their story is predictable 	0
24399	a rehash of every gangster movie from the past decade . 	0
66366	overstated 	0
66661	bumbling 	0
56575	like you were n't invited to the party 	0
28029	as if allen , at 66 , has stopped challenging himself 	0
53755	the movie too often spins its wheels with familiar situations and repetitive scenes 	0
10314	as a recording of conversations at the wal-mart checkout line 	0
66951	to include anything even halfway scary 	0
19830	a disoriented but occasionally disarming saga 	0
809	what we get in feardotcom is more like something from a bad clive barker movie . 	0
2882	are many definitions of ` time waster ' 	0
1446	that you 've spent the past 20 minutes looking at your watch 	0
17336	loud and thoroughly obnoxious comedy 	0
20221	fanboy 	0
44474	seems inconceivable 	0
38157	a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian 	0
40934	own staggeringly unoriginal terms 	0
10771	feels like a hazy high that takes too long to shake . 	0
39647	act weird 	0
11207	hollow , self-indulgent , and 	0
41379	derrida is all but useless 	0
50180	a flat script 	0
11262	but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half 	0
16513	does a film so graceless and devoid of merit as this one come along 	0
11912	too much of the movie feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks . 	0
