	sentence	label
64328	because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue 	0
51777	pile up , undermining the movie 's reality and stifling its creator 's comic voice 	0
57746	is a tired one , with few moments of joy rising above the stale material . 	0
24345	an ugly , pointless , stupid movie . 	0
8004	the sorriest 	0
12220	goosebumps 	1
10275	manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal 	1
354	you have ellen pompeo sitting next to you for the ride 	1
48603	fun part 	1
64049	a lot more dimensional and complex than its sunny disposition 	1
