	sentence	label
57352	that might be best forgotten 	0
32046	seem to be in a contest to see who can out-bad-act the other . 	0
10164	little emotional resonance 	0
2029	the crap 	0
3880	remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . 	0
9778	worst possibilities 	0
51453	too many `` serious issues '' 	0
58250	why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? 	0
20476	be consigned to the dustbin of history 	0
11256	but the second half of the movie really goes downhill . 	0
50385	is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts 	0
7641	drunken 	0
63238	littered with celluloid garbage 	0
45150	best spent elsewhere 	0
52088	is a movie filled with unlikable , spiteful idiots 	0
13509	dying and going 	0
1594	sinister 	0
3183	assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times 	0
15631	all seemed wasted like deniro 's once promising career and the once grand long beach boardwalk . 	0
31968	subzero version 	0
55336	fine acting moments 	1
11037	will be an enjoyable choice for younger kids . 	1
45397	a solid and refined piece of moviemaking imbued with passion and attitude . 	1
59285	embraces it , energizes it and 	1
772	going at a rapid pace , 	1
63029	writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable . 	1
8474	proof of that on the cinematic front , look no further than this 20th anniversary edition of the film that spielberg calls 	1
3111	impart a message without bludgeoning the audience over the head 	1
49321	if good-hearted , movie . 	1
24529	of humankind 's liberating ability 	1
6560	irreverent energy 	1
24582	offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . 	1
46282	such a well loved classic 	1
5353	so vivid a portrait 	1
59277	with us is a minor miracle 	1
33937	makes the film special 	1
45609	optimistic 	1
29876	is as adult as you can get 	1
3544	are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting 	1
1788	engaging characters 	1
