	sentence	label
16377	at a slice of counterculture that might be best forgotten 	0
64518	less compelling than the circumstances of its making 	0
27582	deafening 	0
23351	is the gabbiest giant-screen movie ever , bogging down in a barrage of hype . 	0
32686	, desiccated talent 	0
27450	does n't show enough of the creative process or even of what was created for the non-fan to figure out what makes wilco a big deal . 	0
1122	a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one 's appetite for the bollywood films . 	0
48801	revelatory and narcissistic 	0
51017	chafing 	0
30593	a party political broadcast 	0
33844	it may leave you feeling a little sticky and unsatisfied 	0
44307	comes from tv reruns and supermarket tabloids 	0
38185	goes on for too long and bogs down in a surfeit of characters and unnecessary subplots . 	0
34551	it is n't entirely persuasive 	0
8094	uneven action comedy 	0
27463	` hungry-man portions of bad ' 	0
48754	is doubtful this listless feature will win him any new viewers 	0
8611	's too long and unfocused . 	0
18069	shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera 	0
27115	check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . 	0
65442	see : terrorists are more evil than ever ! 	0
14470	cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but 	0
32690	are useful in telling the story , which is paper-thin and decidedly unoriginal 	0
56616	the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year 	0
29404	men of marginal intelligence 	0
37932	it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie 	0
65090	badly-rendered cgi effects 	0
53172	written , flatly , by david kendall 	0
19088	grueling 	0
15463	it 's also not smart or barbed enough for older viewers 	0
5571	sad , sick sight 	0
50222	be influenced chiefly by humanity 's greatest shame 	0
20035	to absurd lengths 	0
8899	wannabe . 	0
21951	ca n't quite distinguish one sci-fi work from another 	0
45247	evasive 	0
37533	throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary 	0
41400	it 's been 13 months and 295 preview screenings since i last walked out on a movie , but 	0
61843	contrived and secondhand 	0
13450	are tantamount to insulting the intelligence of anyone who has n't been living under a rock ( since sept. 11 ) . 	0
42946	scruffy , dopey old 	0
39379	, this film 's impressive performances and adept direction are n't likely to leave a lasting impression . 	0
55100	ourside the theater roger might be intolerable company , 	0
21061	is more frustrating than a modem that disconnects every 10 seconds . 	0
49083	a cellophane-pop remake of the punk 	0
30085	lazy exercise 	0
11503	is hindered by uneven dialogue and plot lapses 	0
39200	's not clear 	0
31716	of denial 	0
28765	of having been slimed in the name of high art 	0
57346	without ( de niro ) , city by the sea would slip under the waves . 	0
32990	little action , almost no suspense or believable tension , one-dimensional characters up the wazoo and sets that can only be described as sci-fi generic . 	0
884	lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run 	0
31611	split up so that it can do even more damage 	0
22778	, can prevent its tragic waste of life 	0
40465	is far less mature 	0
49739	, dull procession 	0
40174	to the failure of the third revenge of the nerds sequel 	0
51502	the most part a useless movie , even with 	0
63094	silly and tedious 	0
30588	the harsh reality of my situation 	0
29667	about a superficial midlife crisis 	0
36449	as a surprisingly anemic disappointment 	0
54106	a waste of fearless purity in the acting craft . 	0
64968	is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound 	0
41869	dull , spiritless , silly and monotonous 	0
21473	add up to more than body count 	0
31446	deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf 	0
12685	of french hip-hop , which also seems to play on a 10-year delay 	0
54256	high-strung 	0
56994	's lacking a depth in storytelling usually found in anime like this 	0
66944	, overused cocktail 	0
23437	` opening up ' the play more has partly closed it down . 	0
42068	beaten 	0
39580	as big-screen remakes of the avengers and the wild wild west 	0
10507	a cheap thriller , a dumb comedy 	0
52874	too many pointless situations 	0
19655	teen-driven , toilet-humor codswallop 	0
33933	a vile , incoherent mess ... a scummy ripoff of david cronenberg 's brilliant ` videodrome . ' 	0
43383	like coming into a long-running , well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six . 	0
47808	implied in the title pokémon 4ever is terrifying 	0
3405	... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny . 	0
30466	you would n't want to live waydowntown , 	0
23858	certainly does n't feel like a film that strays past the two and a half mark 	0
56792	you have to check your brain at the door 	0
42157	dreary , humorless soap opera 	0
11749	making the proceedings more bizarre than actually amusing 	0
8510	worst revenge-of-the-nerds clichés 	0
14007	) debut can be accused of being a bit undisciplined 	0
5646	gooding offers a desperately ingratiating performance . 	0
10927	loses its fire midway , nearly flickering out by its perfunctory conclusion . 	0
61239	cast in impossibly contrived situations 	0
32635	ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling 	0
16263	feels like a teenybopper ed wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama . 	0
44452	attempts to fuse at least three dull plots into one good one . 	0
8908	this remake of lina wertmuller 's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and 	0
16246	in which opposites attract for no better reason than that the screenplay demands it 	0
23646	of unfocused , excruciatingly tedious cinema 	0
59227	the cinematography is atrocious 	0
20906	it 's like rocky and bullwinkle on speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness . 	0
39009	at every opportunity to do something clever , the film goes right over the edge and kills every sense of believability 	0
54380	i 've seen some bad singer-turned actors , but 	0
53426	spirals downward 	0
28709	a hokey piece of nonsense 	0
42643	to document all this emotional misery 	0
2100	the weird thing 	0
36467	skins has a desolate air 	0
19798	devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu 	0
22722	putting the primitive murderer inside a high-tech space station unleashes a pandora 's box of special effects that run the gamut from cheesy to cheesier to cheesiest 	0
25833	weaknesses 	0
26429	sinks so low in a poorly played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman ca n't save it . 	0
22372	paper-thin and 	0
